"police_department","state","ORI","civilian_complaints_sustained_2020","civilian_complaints_reported_2020","discrimination_complaints_reported_2020","discrimination_complaints_sustained_2020"
"Chatom Police Department","AL","AL0650300",0,0,0,0
"Crossett Police Department","AR","AR0020100",0,8,0,0
"Hamburg Police Department","AR","AR0020200",0,0,0,0
"Rogers Police Department","AR","AR0040200",0,6,0,0
"Pea Ridge Police Department","AR","AR0040400",0,4,0,0
"Lowell Police Department","AR","AR0040600",6,18,0,0
"Harrison Police Department","AR","AR0050100",1,1,0,0
"Lake Village Police Department","AR","AR0090300",1,1,0,0
"Caddo Valley Police Department","AR","AR0100300",0,0,0,0
"Magnolia Police Department","AR","AR0140100",0,1,0,0
"Bay Police Department","AR","AR0160400",0,0,0,0
"Alma Police Department","AR","AR0170200",0,0,0,0
"Fordyce Police Department","AR","AR0200100",1,1,0,0
"Conway Police Department","AR","AR0230100",2,5,0,0
"Vilonia Police Department","AR","AR0230400",0,2,0,0
"Hot Springs Police Department","AR","AR0260100",0,7,0,0
"Marmaduke Police Department","AR","AR0280200",0,0,0,0
"Nashville Police Department","AR","AR0310100",2,7,0,0
"Pine Bluff Police Department","AR","AR0350100",31,51,0,0
"Clarksville Police Department","AR","AR0360100",0,7,0,0
"Ravenden Police Department","AR","AR0380400",0,0,0,0
"Ashdown Police Department","AR","AR0410100",0,0,0,0
"Russellville Police Department","AR","AR0580100",2,9,0,0
"Jacksonville Police Department","AR","AR0600100",6,26,0,0
"N. Little Rock Police Department","AR","AR0600300",4,14,0,0
"Maumelle Police Department","AR","AR0601600",4,25,0,0
"Bryant Police Department","AR","AR0630200",0,5,0,0
"Cave City Police Department","AR","AR0680100",0,1,0,0
"Ash Flat Police Department","AR","AR0680300",0,0,0,0
"Fairfield Bay Police Department","AR","AR0710100",0,3,0,0
"West Fork Police Department","AR","AR0720800",0,0,0,0
"Bald Knob Police Department","AR","AR0730200",0,10,0,0
"Rose Bud Police Department","AR","AR0730600",0,0,0,0
"Saint Johns Police Department","AZ","AZ0010300",1,2,0,0
"Fredonia Marshal'S Office","AZ","AZ0030300",1,1,0,0
"Thatcher Police Department","AZ","AZ0050500",1,1,0,0
"Buckeye Police Department","AZ","AZ0070300",6,11,0,0
"El Mirage Police Department","AZ","AZ0070700",10,16,0,0
"Peoria Police Department","AZ","AZ0072100",0,0,0,0
"Sahuarita Police Department","AZ","AZ0100400",4,11,0,0
"Oro Valley Police Department","AZ","AZ0100700",3,14,0,0
"Nogales Police Department","AZ","AZ0120100",0,1,0,0
"San Luis Police Department","AZ","AZ0140800",0,3,0,0
"Commerce City Police Department","CO","CO0010300",17,51,0,0
"Antonito Police Department","CO","CO0110100",0,1,0,0
"Green Mountain Falls Marshal'S Office","CO","CO0210900",0,0,0,0
"Florence Police Department","CO","CO0220200",0,1,0,0
"Black Hawk Police Department","CO","CO0240200",1,2,0,0
"Gunnison Police Department","CO","CO0260100",5,8,0,0
"La Veta Marshal'S Office","CO","CO0280200",0,0,0,0
"Arvada Police Department","CO","CO0300100",4,40,0,0
"Edgewater Police Department","CO","CO0300300",0,3,0,0
"Lakewood Police Department","CO","CO0300400",39,110,0,0
"Burlington Police Department","CO","CO0320100",1,2,0,0
"Estes Park Police Department","CO","CO0350200",0,6,0,0
"Loveland Police Department","CO","CO0350400",6,24,0,0
"Fruita Police Department","CO","CO0390200",2,4,0,0
"Brush Police Department","CO","CO0440100",1,5,0,0
"Fort Morgan Police Department","CO","CO0440200",2,3,0,0
"La Junta Police Department","CO","CO0450100",0,0,0,0
"Aspen Police Department","CO","CO0490100",0,1,0,0
"Snowmass Village Police Department","CO","CO0490200",0,0,0,0
"Pueblo Police Department","CO","CO0510100",7,16,0,0
"Meeker Police Department","CO","CO0520100",0,3,0,0
"Cripple Creek Police Department","CO","CO0600200",2,6,0,0
"Greeley Police Department","CO","CO0620200",3,9,0,0
"Ault Police Department","CO","CO0621200",2,2,0,0
"Lochbuie Police Department","CO","CO0622000",1,1,0,0
"Broomfield Police Department","CO","CO0640100",2,4,0,0
"Ansonia Police Department","CT","CT0000200",4,12,0,0
"Bridgeport Police Department","CT","CT0001500",1,88,0,0
"Cheshire Police Department","CT","CT0002500",7,11,0,0
"East Hartford Police Department","CT","CT0004300",12,16,0,0
"East Lyme Police Department","CT","CT0004500",0,1,0,0
"East Windsor Police Department","CT","CT0004700",6,10,0,0
"Fairfield Police Department","CT","CT0005100",3,8,0,0
"Farmington Police Department","CT","CT0005200",0,2,0,0
"Greenwich Police Department","CT","CT0005700",2,6,0,0
"Hamden Police Department","CT","CT0006200",3,16,0,0
"Hartford Police Department","CT","CT0006400",21,73,0,0
"Madison Police Department","CT","CT0007600",0,3,0,0
"Middlebury Police Department","CT","CT0008100",0,0,0,0
"Middletown Police Department","CT","CT0008300",3,20,0,0
"Milford Police Department","CT","CT0008400",2,17,0,0
"New Britain Police Department","CT","CT0008900",8,33,0,0
"New Milford Police Department","CT","CT0009600",1,8,0,0
"North Haven Police Department","CT","CT0010100",2,2,0,0
"Old Saybrook Police Services","CT","CT0010600",1,5,0,0
"Prospect Police Department","CT","CT0011500",0,0,0,0
"Ridgefield Police Department","CT","CT0011800",0,0,0,0
"Shelton Police Department","CT","CT0012600",4,6,0,0
"Stratford Police Department","CT","CT0013800",8,13,0,0
"Thomaston Police Department","CT","CT0014000",0,0,0,0
"Waterbury Police Department","CT","CT0015100",2,36,0,0
"Watertown Police Department","CT","CT0015300",2,4,0,0
"West Hartford Police Department","CT","CT0015500",3,9,0,0
"Weston Police Department","CT","CT0015700",0,2,0,0
"Westport Police Department","CT","CT0015800",4,7,0,0
"Groton City Police Department","CT","CT00A5900",0,3,0,0
"Dover Police Department","DE","DE0010100",2,30,0,0
"Newark Police Department","DE","DE0020500",0,1,0,0
"Delaware City Police Department","DE","DE0020900",0,1,0,0
"Lewes Police Department","DE","DE0030400",0,0,0,0
"Bethany Beach Police Department","DE","DE0031000",0,0,0,0
"Panama City Police Department","FL","FL0030100",0,0,0,0
"Lynn Haven Police Department","FL","FL0030700",1,9,0,0
"Rockledge Police Department","FL","FL0050900",1,1,0,0
"Coconut Creek Police Department","FL","FL0061100",1,14,0,0
"Margate Police Department","FL","FL0062100",4,5,0,0
"Green Cove Springs Police Department","FL","FL0100100",1,3,0,0
"Coral Gables Police Department","FL","FL0130200",3,10,0,0
"Hialeah Police Department","FL","FL0130400",4,47,0,0
"North Miami Beach Police Department","FL","FL0131000",1,14,0,0
"Doral Police Department","FL","FL0131100",6,10,0,0
"Indian Creek Village Public Safety","FL","FL0132500",0,0,0,0
"Neptune Beach Public Safety Department","FL","FL0160400",3,7,0,0
"Pensacola Police Department","FL","FL0170100",1,25,0,0
"Apalachicola Police Department","FL","FL0190100",0,0,0,0
"Quincy Police Department","FL","FL0200100",0,0,0,0
"Port Saint Joe Police Department","FL","FL0230100",0,0,0,0
"Sneads Police Department","FL","FL0320500",0,0,0,0
"Eustis Police Department","FL","FL0350100",2,11,0,0
"Tallahassee Police Department","FL","FL0370300",2,20,0,0
"Bradenton Police Department","FL","FL0410200",23,42,0,0
"Dunnellon Police Department","FL","FL0420300",0,0,0,0
"Apopka Police Department","FL","FL0480100",3,10,0,0
"Ocoee Police Department","FL","FL0480300",5,7,0,0
"Boynton Beach Police Department","FL","FL0500300",1,23,0,0
"Delray Beach Police Department","FL","FL0500400",37,56,0,0
"Riviera Beach Police Department","FL","FL0500700",1,11,0,0
"Jupiter Police Department","FL","FL0501700",0,1,0,0
"Lantana Police Department","FL","FL0502000",0,0,0,0
"North Palm Beach Police Department","FL","FL0502300",1,3,0,0
"Palm Beach Gardens Police Department","FL","FL0502600",0,7,0,0
"Zephyrhills Police Department","FL","FL0510300",1,2,0,0
"Pinellas Park Police Department","FL","FL0521100",2,13,0,0
"Fort Pierce Police Department","FL","FL0560100",7,63,0,0
"Sarasota Police Department","FL","FL0580100",8,66,0,0
"North Port Police Department","FL","FL0580300",1,7,0,0
"Lake Mary Police Department","FL","FL0590700",0,6,0,0
"Daytona Beach Police Department","FL","FL0640100",3,6,0,0
"Ormond Beach Police Department","FL","FL0640400",2,18,0,0
"Lake Helen Police Department","FL","FL0640800",0,5,0,0
"Willacoochee Police Department","GA","GA0020200",0,0,0,0
"Alma Police Department","GA","GA0030100",0,5,0,0
"Cartersville Police Department","GA","GA0080100",4,43,0,0
"Kingston Police Department","GA","GA0080300",0,0,0,0
"Euharlee Police Department","GA","GA0080700",1,5,0,0
"Carrollton Police Department","GA","GA0220100",1,9,0,0
"Winterville Police Department","GA","GA0290400",1,1,0,0
"Forest Park Police Department","GA","GA0310200",0,4,0,0
"Marietta Police Department","GA","GA0330300",0,6,0,0
"Douglas Police Department","GA","GA0340100",12,37,0,0
"Elberton Police Department","GA","GA0520100",0,3,0,0
"Cave Spring Police Department","GA","GA0570300",0,5,0,0
"East Point Police Department","GA","GA0600200",2,12,0,0
"Alpharetta Department Of Public Safety","GA","GA0600400",1,6,0,0
"Roswell Police Department","GA","GA0600500",39,66,0,0
"Whigham Police Department","GA","GA0650200",0,0,0,0
"Gainesville Police Department","GA","GA0690100",8,28,0,0
"Maysville Police Department","GA","GA0780300",0,0,0,0
"Wadley Police Department","GA","GA0810200",0,4,0,0
"Valdosta Police Department","GA","GA0920100",1,17,0,0
"Hahira Police Department","GA","GA0920200",0,0,0,0
"Ideal Police Department","GA","GA0960200",2,2,0,0
"Danielsville Police Department","GA","GA0970300",0,1,0,0
"Buena Vista Police Department","GA","GA0980100",0,5,0,0
"Greenville Police Department","GA","GA0990200",0,4,0,0
"Chatsworth Police Department","GA","GA1050100",0,0,0,0
"Mountain City Police Department","GA","GA1190200",0,0,0,0
"Griffin Police Department","GA","GA1260100",10,28,0,0
"Lumpkin Police Department","GA","GA1280100",0,0,0,0
"Reynolds Police Department","GA","GA1330200",0,0,0,0
"Ashburn Police Department","GA","GA1420100",3,5,0,0
"Lookout Mountain Police Department","GA","GA1460300",0,4,0,0
"Tunnel Hill Police Department","GA","GA1550200",0,1,0,0
"Kauai Police Department","HI","HI0040000",2,14,0,0
"Waterloo Police Department","IA","IA0070300",9,61,0,0
"Boone Police Department","IA","IA0080100",0,15,0,0
"Independence Police Department","IA","IA0100100",0,0,0,0
"Guttenberg Police Department","IA","IA0220100",0,0,0,0
"West Burlington Police Department","IA","IA0290200",0,0,0,0
"Spirit Lake Police Department","IA","IA0300100",0,2,0,0
"Dubuque Police Department","IA","IA0310100",0,0,0,0
"Fayette Police Department","IA","IA0330300",0,1,0,0
"Hampton Police Department","IA","IA0350100",0,1,0,0
"Newton Police Department","IA","IA0500100",0,0,0,0
"Robins Police Department","IA","IA0570900",0,0,0,0
"Saint Ansgar Police Department","IA","IA0660200",0,0,0,0
"Emmetsburg Police Department","IA","IA0740100",0,1,0,0
"Lemars Police Department","IA","IA0750100",1,5,0,0
"Ankeny Police Department","IA","IA0770100",0,2,0,0
"Clive Police Department","IA","IA0770200",1,4,0,0
"Council Bluffs Police Department","IA","IA0780100",8,24,0,0
"Davenport Police Department","IA","IA0820200",44,78,0,0
"Blue Grass Police Department","IA","IA0820500",1,2,0,0
"Eldridge Police Department","IA","IA0820600",0,2,0,0
"Walcott Police Department","IA","IA0820900",0,0,0,0
"Sioux Center Police Department","IA","IA0840500",0,0,0,0
"Nevada Public Safety Department","IA","IA0850200",0,0,0,0
"Ottumwa Police Department","IA","IA0900100",0,7,0,0
"Carlisle Police Department","IA","IA0910300",0,4,0,0
"Washington Police Department","IA","IA0920100",0,1,0,0
"Fort Dodge Police Department","IA","IA0940100",0,0,0,0
"Sioux City Police Department","IA","IA0970100",8,69,0,0
"Clarion Police Department","IA","IA0990300",0,0,0,0
"Meridian Police Department","ID","ID0010300",0,8,0,0
"Ketchum Police Department","ID","ID0070100",0,8,0,0
"Hailey Police Department","ID","ID0070300",2,2,0,0
"Preston Police Department","ID","ID0210100",0,2,0,0
"Rathdrum Police Department","ID","ID0280500",0,0,0,0
"Homedale Police Department","ID","ID0370100",0,10,0,0
"Twin Falls Police Department","ID","ID0420200",7,15,0,0
"Princeton Police Department","IL","IL0060400",1,1,0,0
"Chadwick Police Department","IL","IL0080100",0,0,0,0
"Milledgeville Police Department","IL","IL0080300",0,0,0,0
"Beardstown Police Department","IL","IL0090200",0,4,0,0
"Martinsville Police Department","IL","IL0120300",0,0,0,0
"Bartlett Police Department","IL","IL0160500",0,3,0,0
"Berwyn Police Department","IL","IL0160900",0,0,0,0
"Bridgeview Police Department","IL","IL0161100",5,13,0,0
"Broadview Police Department","IL","IL0161200",1,6,0,0
"Sauk Village Police Department","IL","IL0161A00",1,6,0,0
"Schaumburg Police Department","IL","IL0162A00",0,0,0,0
"Forest Park Police Department","IL","IL0163500",3,8,0,0
"Summit Police Department","IL","IL0163B00",0,5,0,0
"Skokie Police Department","IL","IL0164A00",16,44,0,0
"Thornton Police Department","IL","IL0164B00",0,0,0,0
"Indian Head Park Police Department .","IL","IL0165300",0,1,0,0
"Lansing Police Department","IL","IL0165900",0,4,0,0
"Northfield Police Department","IL","IL0167600",0,0,0,0
"North Riverside Police Department","IL","IL0167800",0,4,0,0
"Oak Forest Police Department","IL","IL0167900",4,6,0,0
"Oak Park Police Department","IL","IL0168100",2,11,0,0
"Orland Park Police Department","IL","IL0168300",5,28,0,0
"Palatine Police Department","IL","IL0168400",3,5,0,0
"Palos Hills Police Department","IL","IL0168600",0,2,0,0
"Park Forest Police Department","IL","IL0168800",1,4,0,0
"River Grove Police Department","IL","IL0169500",0,0,0,0
"Robbins Police Department","IL","IL0169700",0,6,0,0
"Wheeling Police Department","IL","IL0169B00",5,8,0,0
"Palestine Police Department","IL","IL0170200",0,0,0,0
"Robinson Police Department","IL","IL0170300",0,0,0,0
"Kingston Police Department","IL","IL0191300",0,0,0,0
"Clinton Police Department","IL","IL0200100",0,0,0,0
"Downers Grove Police Department","IL","IL0220600",8,15,0,0
"Glendale Heights Police Department","IL","IL0220800",0,1,0,0
"Lombard Police Department","IL","IL0221300",8,12,0,0
"Naperville Police Department","IL","IL0221400",6,33,0,0
"Roselle Police Department","IL","IL0221600",0,0,0,0
"Effingham Police Department","IL","IL0250200",0,0,0,0
"Royalton Police Department","IL","IL0280300",0,2,0,0
"Mcleansboro Police Department","IL","IL0330100",0,0,0,0
"Mount Vernon Police Department","IL","IL0410100",1,8,0,0
"Elizabeth Police Department","IL","IL0430200",0,0,0,0
"Goreville Police Department","IL","IL0440200",0,0,0,0
"Aurora Police Department","IL","IL0450100",0,0,0,0
"East Dundee Police Department","IL","IL0450400",0,3,0,0
"Gilberts Police Department","IL","IL0452100",0,0,0,0
"Bourbonnais Police Department","IL","IL0460300",0,0,0,0
"Herscher Police Department","IL","IL0461000",0,0,0,0
"Highland Park Police Department","IL","IL0490700",2,19,0,0
"Libertyville Police Department","IL","IL0491300",0,0,0,0
"North Chicago Police Department","IL","IL0491500",3,52,0,0
"Round Lake Park Police Department","IL","IL0491900",0,0,0,0
"Lincolnshire Police Department","IL","IL0492900",0,2,0,0
"Kildeer Police Department","IL","IL0493600",2,4,0,0
"Lasalle Police Department","IL","IL0500100",0,4,0,0
"Marseilles Police Department","IL","IL0500300",0,0,0,0
"Mendota Police Department","IL","IL0500400",0,2,0,0
"Tonica Police Department","IL","IL0501600",0,0,0,0
"Lawrenceville Police Department","IL","IL0510200",0,2,0,0
"Amboy Police Department","IL","IL0520200",0,0,0,0
"Pontiac Police Department","IL","IL0530200",0,0,0,0
"Mount Pulaski Police Department","IL","IL0540300",0,0,0,0
"Macomb Police Department","IL","IL0550400",0,3,0,0
"Algonquin Police Department","IL","IL0560100",0,1,0,0
"Fox River Grove Police Department","IL","IL0560400",0,1,0,0
"Lake In The Hills Police Department","IL","IL0560900",1,4,0,0
"Prairie Grove Police Department","IL","IL0562300",0,0,0,0
"Bloomington Police Department","IL","IL0570100",5,23,0,0
"Heyworth Police Department","IL","IL0570400",0,0,0,0
"Leroy Police Department","IL","IL0570500",0,2,0,0
"Lexington Police Department","IL","IL0570600",0,0,0,0
"Decatur Police Department","IL","IL0580200",2,7,0,0
"Mount Zion Police Department","IL","IL0580400",0,0,0,0
"Bunker Hill Police Department","IL","IL0590300",0,0,0,0
"Staunton Police Department","IL","IL0590900",0,0,0,0
"Bethalto Police Department","IL","IL0600200",0,0,0,0
"Edwardsville Police Department","IL","IL0600500",0,2,0,0
"Highland Police Department","IL","IL0600900",1,2,0,0
"South Roxana Police Department","IL","IL0601900",0,0,0,0
"Havana Police Department","IL","IL0630100",0,1,0,0
"Meredosia Police Department","IL","IL0690200",0,0,0,0
"Pinckneyville Police Department","IL","IL0730200",0,1,0,0
"Chester Police Department","IL","IL0790100",4,5,0,0
"Sparta Police Department","IL","IL0790300",0,0,0,0
"Coulterville Police Department","IL","IL0790600",0,0,0,0
"East Moline Police Department","IL","IL0810400",0,20,0,0
"Silvis Police Department","IL","IL0810900",0,0,0,0
"Freeburg Police Department","IL","IL0820800",0,0,0,0
"Chatham Police Department","IL","IL0840400",0,0,0,0
"Riverton Police Department","IL","IL0840700",2,4,0,0
"Williamsville Police Department","IL","IL0840800",0,1,0,0
"Rochester Police Department","IL","IL0840900",0,2,0,0
"Pleasant Plains Police Department","IL","IL0842400",0,0,0,0
"Findlay Police Department","IL","IL0870700",0,0,0,0
"Pekin Police Department","IL","IL0900900",0,2,0,0
"Fairfield Police Department","IL","IL0960100",0,2,0,0
"Carmi Police Department","IL","IL0970100",0,0,0,0
"Morrison Police Department","IL","IL0980400",0,0,0,0
"Bolingbrook Police Department","IL","IL0990200",0,0,0,0
"Frankfort Police Department","IL","IL0990600",0,1,0,0
"Joliet Police Department","IL","IL0990700",0,5,0,0
"Wilmington Police Department","IL","IL0991400",0,4,0,0
"Manhattan Police Department","IL","IL0991600",0,1,0,0
"Greendale Police Department","IN","IN0150300",1,3,0,0
"Muncie Police Department","IN","IN0180100",0,0,0,0
"Goshen Police Department","IN","IN0200200",0,0,0,0
"New Albany Police Department","IN","IN0220100",5,10,0,0
"Fairmount Police Department","IN","IN0270300",0,4,0,0
"Carmel Police Department","IN","IN0290100",5,31,0,0
"Brownsburg Police Department","IN","IN0320100",0,1,0,0
"Avon Police Department","IN","IN0321100",0,0,0,0
"New Castle Police Department","IN","IN0330200",1,4,0,0
"Middletown Police Department","IN","IN0330400",0,0,0,0
"Seymour Police Department","IN","IN0360200",1,6,0,0
"Portland Police Department","IN","IN0380200",0,26,0,0
"Vincennes Police Department","IN","IN0420200",0,0,0,0
"Gary Police Department","IN","IN0450500",7,52,0,0
"Laporte Police Department","IN","IN0460100",0,5,0,0
"Long Beach Police Department","IN","IN0460300",0,1,0,0
"Kingsford Heights Police Department","IN","IN0460400",0,0,0,0
"Westville Police Department","IN","IN0460600",0,1,0,0
"Alexandria Police Department","IN","IN0480100",0,1,0,0
"Anderson Police Department","IN","IN0480200",7,13,0,0
"Loogootee Police Department","IN","IN0510100",0,0,0,0
"Crawfordsville Police Department","IN","IN0540100",0,3,0,0
"Martinsville Police Department","IN","IN0550100",0,5,0,0
"Tell City Police Department","IN","IN0620100",0,3,0,0
"Mishawaka Police Department","IN","IN0710100",0,11,0,0
"Angola Police Department","IN","IN0760100",0,1,0,0
"Clinton Police Department","IN","IN0830100",0,0,0,0
"Terre Haute Police Department","IN","IN0840100",10,20,0,0
"West Terre Haute Police Department","IN","IN0840200",2,4,0,0
"Iola Police Department","KS","KS0010200",0,0,0,0
"Moran Police Department","KS","KS0010300",0,0,0,0
"Medicine Lodge Police Department","KS","KS0040200",0,0,0,0
"Hoisington Police Department","KS","KS0050300",0,2,0,0
"Claflin Police Department","KS","KS0050400",0,0,0,0
"Rose Hill Police Department","KS","KS0080600",2,4,0,0
"Baxter Springs Police Department","KS","KS0110300",0,2,0,0
"Clay Center Police Department","KS","KS0140100",0,0,0,0
"Udall Police Department","KS","KS0180400",0,0,0,0
"Cherokee Police Department","KS","KS0190500",0,0,0,0
"Chapman Police Department","KS","KS0210300",0,0,0,0
"Elwood Police Department","KS","KS0220100",0,0,0,0
"Holcomb Police Department","KS","KS0280200",0,0,0,0
"Dodge City Police Department","KS","KS0290100",7,13,0,0
"Newton Police Department","KS","KS0400100",0,3,0,0
"Olathe Police Department","KS","KS0460500",0,11,0,0
"Overland Park Police Department","KS","KS0460600",7,24,0,0
"Roeland Park Police Department","KS","KS0460800",0,0,0,0
"Lansing Police Department","KS","KS0520300",4,14,0,0
"Mcpherson Police Department","KS","KS0570100",0,1,0,0
"Galva Police Department","KS","KS0570300",0,0,0,0
"Canton Police Department","KS","KS0570900",0,0,0,0
"Coffeyville Police Department","KS","KS0630100",1,1,0,0
"Norton Police Department","KS","KS0690100",0,1,0,0
"Onaga Police Department","KS","KS0750500",0,0,0,0
"Haven Police Department","KS","KS0780300",0,0,0,0
"Scott City Police Department","KS","KS0860100",1,11,0,0
"Valley Center Police Department","KS","KS0870500",4,6,0,0
"Andale Police Department","KS","KS0872000",0,1,0,0
"Liberal Police Department","KS","KS0880100",0,3,0,0
"Topeka Police Department","KS","KS0890100",9,41,0,0
"Goodland Police Department","KS","KS0910100",0,3,0,0
"Saint John Police Department","KS","KS0930200",0,1,0,0
"Wellington Police Department","KS","KS0960100",0,0,0,0
"Belle Plaine Police Department","KS","KS0960200",0,0,0,0
"Colby Police Department","KS","KS0970100",0,1,0,0
"Edwardsville Police Department","KS","KS1050300",0,2,0,0
"Brownsville Police Department","KY","KY0310100",0,0,0,0
"Lexington Division Of Police","KY","KY0340200",17,180,0,0
"Hickman Police Department","KY","KY0380200",0,10,0,0
"Bellefonte Police Department","KY","KY0451000",0,0,0,0
"Elizabethtown Police Department","KY","KY0470100",1,2,0,0
"Evarts Police Department","KY","KY0480500",0,2,0,0
"Paintsville Police Department","KY","KY0580100",0,0,0,0
"Covington Police Department","KY","KY0590100",1,2,0,0
"Taylor Mill Police Department","KY","KY0591100",0,0,0,0
"Pippa Passes Police Department","KY","KY0600200",0,0,0,0
"Greenville Police Department","KY","KY0890100",1157,1157,0,0
"Beaver Dam Police Department","KY","KY0920200",0,0,0,0
"Somerset Police Department","KY","KY1000100",0,0,0,0
"Georgetown Police Department","KY","KY1050100",1,6,0,0
"Bowling Green Police Department","KY","KY1140100",2,7,0,0
"Crowley Police Department","LA","LA0010100",1,11,0,0
"Church Point Police Department","LA","LA0010300",0,0,0,0
"Oberlin Police Department","LA","LA0020300",0,0,0,0
"Moreauville Police Department","LA","LA0050600",1,4,0,0
"Deridder Police Department","LA","LA0060100",2,2,0,0
"Shreveport Police Department","LA","LA0090100",14,103,0,0
"Greenwood Police Department","LA","LA0091000",0,0,0,0
"Jeanerette Police Department","LA","LA0230200",0,0,0,0
"Maringouin Police Department","LA","LA0240100",0,0,0,0
"Gretna Police Department","LA","LA0260100",1,10,0,0
"Kenner Police Department","LA","LA0260300",47,88,0,0
"Carencro Police Department","LA","LA0280200",0,2,0,0
"Dubach Police Department","LA","LA0310100",0,0,0,0
"Grambling Police Department","LA","LA0310300",1,3,0,0
"Walker Police Department","LA","LA0320300",0,1,0,0
"French Settlement Police Department","LA","LA0320700",0,2,0,0
"Monroe Police Department","LA","LA0370100",1,1,0,0
"Alexandria Police Department","LA","LA0400100",0,0,0,0
"Glenmora Police Department","LA","LA0400600",0,0,0,0
"Lutcher Police Department","LA","LA0470100",0,0,0,0
"Eunice Police Department","LA","LA0490100",0,6,0,0
"Opelousas Police Department","LA","LA0490200",0,0,0,0
"Arnaudville Police Department","LA","LA0490300",0,0,0,0
"Baldwin Police Department","LA","LA0510500",0,0,0,0
"Mandeville Police Department","LA","LA0520300",0,2,0,0
"Hammond Police Department","LA","LA0530100",0,3,0,0
"Houma Police Department","LA","LA0550100",1,1,0,0
"Erath Police Department","LA","LA0570400",0,0,0,0
"Franklinton Police Department","LA","LA0590200",0,0,0,0
"Minden Police Department","LA","LA0600100",0,5,0,0
"Barnstable Police Department","MA","MA0010100",0,1,0,0
"Provincetown Police Department","MA","MA0011100",0,0,0,0
"Williamstown Police Department","MA","MA0023100",0,1,0,0
"Dighton Police Department","MA","MA0030500",0,0,0,0
"Seekonk Police Department","MA","MA0031600",0,0,0,0
"Boxford Police Department","MA","MA0050400",2,4,0,0
"Groveland Police Department","MA","MA0050900",0,1,0,0
"Lawrence Police Department","MA","MA0051300",2,6,0,0
"Methuen Police Department","MA","MA0051900",0,14,0,0
"Peabody Police Department","MA","MA0052500",0,3,0,0
"Saugus Police Department","MA","MA0053000",0,3,0,0
"Ashfield Police Department","MA","MA0060100",0,0,0,0
"Buckland Police Department","MA","MA0060300",0,0,0,0
"Chicopee Police Department","MA","MA0070500",1,9,0,0
"Holyoke Police Department","MA","MA0071000",1,8,0,0
"West Springfield Police Department","MA","MA0072100",2,7,0,0
"Westfield Police Department","MA","MA0072200",0,3,0,0
"Southampton Police Department","MA","MA0081600",0,1,0,0
"Ayer Police Department","MA","MA0090500",1,7,0,0
"Littleton Police Department","MA","MA0092500",0,2,0,0
"Lowell Police Department","MA","MA0092600",11,28,0,0
"Marlborough Police Department","MA","MA0092800",3,6,0,0
"Tyngsboro Police Department","MA","MA0094500",2,3,0,0
"Waltham Police Department","MA","MA0094700",0,3,0,0
"Wayland Police Department","MA","MA0094900",0,0,0,0
"Avon Police Department","MA","MA0110100",1,3,0,0
"Brookline Police Department","MA","MA0110400",0,2,0,0
"Canton Police Department","MA","MA0110500",0,0,0,0
"Foxboro Police Department","MA","MA0110900",0,0,0,0
"Norwood Police Department","MA","MA0111800",0,2,0,0
"Carver Police Department","MA","MA0120400",0,1,0,0
"Hingham Police Department","MA","MA0121000",0,1,0,0
"Scituate Police Department","MA","MA0122400",1,1,0,0
"Chelsea Police Department","MA","MA0130300",1,2,0,0
"Winthrop Police Department","MA","MA0130500",1,2,0,0
"Blackstone Police Department","MA","MA0140600",0,2,0,0
"Hardwick Police Department","MA","MA0141800",0,2,0,0
"Harvard Police Department","MA","MA0141900",0,2,0,0
"Holden Police Department","MA","MA0142000",0,4,0,0
"Southbridge Police Department","MA","MA0144500",2,22,0,0
"Westminster Police Department","MA","MA0145800",0,3,0,0
"Annapolis Police","MD","MD0020100",35,70,0,0
"Denton Police","MD","MD0060100",0,0,0,0
"Ridgely Police","MD","MD0060500",0,0,0,0
"Taneytown Police","MD","MD0070600",0,0,0,0
"Brunswick Police","MD","MD0110100",0,0,0,0
"Cottage City Police","MD","MD0170800",0,0,0,0
"District Heights Police","MD","MD0170900",2,9,0,0
"Landover Hills Police","MD","MD0171600",0,0,0,0
"St Michaels Police","MD","MD0210300",0,2,0,0
"Salisbury City Police","MD","MD0230300",3,5,0,0
"Ocean City Police","MD","MD0240200",5,12,0,0
"Wilton Police Department","ME","ME0040300",0,1,0,0
"Bucksport Police Department","ME","ME0050300",0,0,0,0
"Southwest Harbor Police Department","ME","ME0050800",0,2,0,0
"Augusta Police Department","ME","ME0060100",2,15,0,0
"Gardiner Police Department","ME","ME0060200",0,2,0,0
"Winthrop Police Department","ME","ME0060800",0,0,0,0
"Clinton Police Department","ME","ME0062100",1,1,0,0
"Rockland Police Department","ME","ME0070200",0,1,0,0
"Mexico Police Department","ME","ME0090300",2,2,0,0
"Hampden Police Department","ME","ME0100700",0,0,0,0
"Baileyville Police Department","ME","ME0150900",0,1,0,0
"Kittery Police Department","ME","ME0160200",0,0,0,0
"Berwick Police Department","ME","ME0160600",4,8,0,0
"North Berwick Police Department","ME","ME0161100",0,4,0,0
"Buxton Police Department","ME","ME0161800",0,0,0,0
"Otsego Police Department","MI","MI0364100",0,0,0,0
"Central Lake Police Department","MI","MI0530400",0,0,0,0
"Barry Township Police Department","MI","MI0823400",0,0,0,0
"Hampton Township Police Department","MI","MI0991500",0,0,0,0
"Frankfort Police Department","MI","MI1040700",0,0,0,0
