"Total_Less_lethal_force_2020","ORI","Population","Police Department"
11,"CA0195500",151982,"Pomona Police Department"
22,"WA0170200",150548,"Bellevue Police Department"
28,"TX1650100",150529,"Midland Police Department"
NA,"WA0340000",150486,"Thurston County Sheriff's Office"
70,"FL0090000",150189,"Citrus County Sheriff's Office"
17,"NC0110000",148514,"Buncombe County Sheriff's Office"
NA,"NJ0160800",144947,"Paterson Police"
53,"IL1010400",144792,"Rockford Police Department"
46,"AZ0072700",144620,"Surprise Police Department"
NA,"TX0610200",144569,"Denton Police Department"
NA,"TX1080800",144569,"McAllen Police Department"
20,"CA0310500",144128,"Roseville Police Department"
NA,"FL0062200",143470,"Miramar Police Department"
NA,"CA0197200",143421,"Torrance Police Department"
62,"FL0430000",142624,"Martin County Sheriff's Office"
NA,"FL0460000",142433,"Okaloosa County Sheriff's Office"
74,"NY0330100",142011,"Syracuse Police Department"
29,"CA0195300",141473,"Pasadena Police Department"
NA,"GA0360000",141342,"Columbia County Sheriff's Office"
57,"TX0571800",141187,"Mesquite Police Department"
5,"SC0070000",141108,"Beaufort County Sheriff's Office"
34,"TX1551200",140870,"Waco Police Department"
108,"OH0570200",140193,"Dayton Police Department"
21,"CA0300800",139011,"Fullerton Police Department"
19,"CA0301500",138846,"Orange Police Department"
NA,"VA0880000",137659,"Spotsylvania County Sheriff's Office"
102,"UT0182500",135887,"West Valley City Police Department"
25,"TX2460500",135776,"Round Rock Police Department"
23,"CA0540700",135733,"Visalia Police Department"
50,"CA0490000",135225,"Sonoma County Sheriff"
28,"FL0010100",135076,"Gainesville Police Department"
17,"FL0062800",135027,"Coral Springs Police Department"
64,"TX0571200",135017,"Grand Prairie Police Department"
40,"IA0570100",134330,"Cedar Rapids Police Department"
9,"VA1110000",134082,"Hampton Police Department"
92,"WA0170700",133883,"Kent Police Department"
34,"CA0431400",131976,"Santa Clara Police Department"
26,"SC0080000",131934,"Berkeley County Sheriff's Office"
29,"SC0400100",131185,"Columbia Police Department"
18,"TX0430400",130768,"Frisco Police Department"
NA,"CA0014000",NA,"Alameda County Sheriff's Department"
12,"CA0440000",130587,"Santa Cruz County Sheriff's Office"
NA,"IL0450100",130539,"Aurora Police Department"
16,"CT0013500",130425,"Stamford Police Department"
NA,"CA0070400",130074,"Concord Police Department"
92,"NC0410000",129775,"Guilford County Sheriff's Office"
17,"SC0100100",129739,"Charleston Police Department"
4,"NJ0200400",129518,"Elizabeth Police Department"
NA,"CA0410000",129307,"San Mateo County Sheriff's Office"
66,"GA0290100",128152,"Athens-Clarke Police Department"
NA,"NY0140000",126954,"Erie County Sheriff"
28,"ND0090200",126927,"Fargo Police Department"
125,"IL0490000",126791,"Lake County Sheriff's Office"
36,"LA0280300",126679,"Lafayette Police Department"
NA,"KS0890100",126587,"Topeka Police Department"
24,"OK0140200",126480,"Norman Police Department"
NA,"CA0560900",125742,"Simi Valley Police Department"
43,"MO0100200",124829,"Columbia Police Department"
63,"TX0680200",124059,"Odessa Police Department"
NA,"TX0200000",123459,"Brazoria County Sheriff's Office"
NA,"CA0310000",122516,"Placer County Sheriff's Office"
NA,"CA0010300",122346,"Berkeley Police Department"
80,"CA0480700",122326,"Vallejo Police Department"
33,"CT0006400",121749,"Hartford Police Department"
NA,"NY0145100",121304,"Amherst Town Police Department"
15,"CA0400000",121014,"San Luis Obispo County Sheriff"
21,"TX0210200",120831,"College Station Police Department"
2,"MI8121800",120647,"Ann Arbor Police Department"
NA,"MA0091100",119938,"Cambridge Police Department"
2,"TX0790500",119671,"Sugar Land Police Department"
5,"TX0201000",119634,"Pearland Police Department"
NA,"FL0010000",119371,"Alachua County Sheriff's Office"
54,"CA0480300",118491,"Fairfield Police Department"
NA,"TX2210100",118336,"Abilene Police Department"
NA,"FL0520300",117859,"Clearwater Police Department"
100,"IN0820100",117747,"Evansville Police Department"
NA,"CA0334200",117639,"Murrieta Police Department"
1,"NY0130000",117314,"Dutchess County Sheriff"
NA,"UT0250600",117041,"Provo Police Department"
44,"FL0051200",116897,"Palm Bay Police Department"
28,"CA0100100",116809,"Clovis Police Department"
NA,"TX1230100",116766,"Beaumont Police Department"
NA,"MO0480600",116648,"Independence Police Department"
16,"CA0370100",116516,"Carlsbad Police Department"
NA,"OH0760000",115983,"Stark County Sheriff's Office"
96,"CA0192200",115690,"El Monte Police Department"
44,"OR0200000",114783,"Lane County Sheriff's Office"
44,"OH0310000",114618,"Hamilton County Sheriff's Office"
25,"MD0190000",114031,"St. Mary's County Sheriff"
NA,"MI5815800",113920,"Monroe County Sheriff's Office"
199,"FL0531200",113876,"Lakeland Police Department"
41,"MI3351900",113754,"Lansing Police Department"
19,"NV0160000",113482,"Washoe County Sheriff's Office"
NA,"CA0300400",113317,"Costa Mesa Police Department"
NA,"FL0500800",113268,"West Palm Beach Police Department"
NA,"CA0070100",112481,"Antioch Police Department"
17,"CO0031100",112104,"Centennial Police Department"
NA,"NC0430000",111801,"Harnett County Sheriff's Office"
31,"CA0071000",111367,"Richmond Police Department"
6,"GA0605600",111219,"Sandy Springs Police Department"
13,"OR0340300",111146,"Hillsboro Police Department"
10,"CA0192000",111054,"Downey Police Department"
