"Total_Less_lethal_force_2020","ORI","Population","Police Department"
NA,"NJ0051000",804,"Stone Harbor Boro Police"
NA,"OH0440400",697,"Chesapeake Police Department"
NA,"OH0411100",614,"Dillonvale Police Department"
0,"OH0370200",NA,"Laurelville Police Department"
NA,"NJ0130100",482,"Allenhurst Police"
NA,"OH0410800",468,"Amsterdam Police Department"
0,"OH0121000",355,"Tremont City Police Department"
NA,"OH0251700",343,"Harrisburg Police Department"
NA,"NJ0151900",245,"Mantoloking Boro Police"
2,"AKAST2100",NA,"Alaska State Troopers"
NA,"CA0380000",NA,"San Francisco Sheriff's Department"
NA,"",NA,"Lancaster Police Department"
NA,"",NA,"UC Berkeley Police Department"
0,"",NA,"UC Davis Police Department"
4,"",NA,"UC Los Angeles Police Department"
NA,"",NA,"UC Irvine Police Department"
NA,"",NA,"UC Riverside Police Department"
NA,"",NA,"UC San Diego Police Department"
NA,"",NA,"UC Santa Barbara Police Department"
1,"",NA,"UC Santa Cruz Police Department"
NA,"CO0070200",NA,"Broomfield County Sheriff's Department"
42,"CTCSP4300",NA,"Connecticut State Police"
321,"",NA,"US Customs and Border Patrol"
NA,"DE0021700",NA,"University of Delaware Police Department"
NA,"GA0750000",NA,"Henry County Sheriff's Office"
NA,"MA0134200",NA,"Suffolk County Sheriff's Office"
29,"MDMSP2600",NA,"Maryland State Police"
0,"MO0920000",398472,"St. Charles County Sheriff's Office"
64,"MOMHP0000",NA,"Missouri State Highway Patrol"
113,"NC0360000",NA,"Gaston County Sheriff's Office"
NA,"NJNSP7800",NA,"New Jersey State Police"
NA,"",NA,"Rowan University Of NJ"
NA,"",NA,"Atlantic County Prosecutors Office"
NA,"",NA,"Bergen County Prosecutors Office"
NA,"",NA,"Burlington County Prosecutors Office"
NA,"",NA,"Cape May County Prosecutors Office"
NA,"",NA,"College Of New Jersey"
NA,"",NA,"Department of Corrections"
NA,"",NA,"Division of Criminal Justice"
NA,"",NA,"Essex County Prosecutors Office"
NA,"",NA,"Gloucester County Prosecutors Office"
NA,"",NA,"Mercer County Prosecutor Off"
NA,"",NA,"Middlesex County Prosecutors Office"
NA,"",NA,"Monmouth County Prosecutors Office"
NA,"",NA,"Montclair State College Police"
NA,"",NA,"Morris County Corrections"
NA,"",NA,"Morris County Prosecutors Office"
NA,"",NA,"New Jersey Institute Of Technology"
NA,"",NA,"New Jersey Transit Police Department"
NA,"",NA,"NJ State Human Services Police"
NA,"",NA,"Ocean County Prosecutors Office"
NA,"",NA,"Palisades Inter. Parkway Police"
NA,"",NA,"Passaic County Prosecutors Office"
NA,"",NA,"Princeton University Police"
NA,"",NA,"Rutgers Univ Police"
NA,"",NA,"New Jersey State Parole Board"
NA,"",NA,"Sussex County Prosecutors Office"
NA,"NY0510000",NA,"Suffolk County Sheriff"
NA,"NY1010300",NA,"New York State Police"
NA,"",NA,"Nassau County Sheriff"
NA,"NY0609000",NA,"Genesee Region Park Police Department"
NA,"NY254UI00",NA,"Ithaca College Police Department"
NA,"NY0519000",NA,"Long Island Region Park Police Department"
NA,"NY0319000",NA,"Niagara Region Park Police Department"
NA,"",NA,"New York State Park Police"
NA,"",NA,"New York City Metro Transportation Authority"
NA,"",NA,"New York State Environmental Conservation Police"
NA,"",NA,"New York State Environ Convser Div Forest Ranger"
NA,"",NA,"Niagara Frontier Transportation Authority Police Department"
NA,"",NA,"Port Authority NY-NJ Police Department"
NA,"",NA,"SUNY Police - Albany"
NA,"",NA,"SUNY Police - Binghamton"
NA,"",NA,"SUNY Police - Brockport"
NA,"",NA,"SUNY Police - Farmingdale"
NA,"",NA,"SUNY Police - Fredonia"
NA,"",NA,"SUNY Police - Morrisville"
NA,"",NA,"SUNY Police - New Paltz"
NA,"",NA,"SUNY Police - Potsdam"
NA,"",NA,"SUNY Police - Upstate Medical"
1,"OH0180000",NA,"Cuyahoga County Sheriff's Office"
NA,"OH0291400",NA,"Central State University Police Department"
81,"OH0HP9800",NA,"Ohio State Highway Patrol"
NA,"OH0021700",NA,"Johnny Appleseed Park Rangers Police Department"
1,"OH0253800",NA,"Ohio Department of Natural Resources"
4,"",NA,"Cleveland Metroparks Ranger Department"
11,"",NA,"Cleveland RTA Police Department"
0,"",NA,"Muskingum Watershed Conservancy District Police Department"
12,"RIRSP0100",NA,"Rhode Island State Police"
14,"SC0260000",NA,"Horry County Sheriff's Office"
30,"VTVSP0000",NA,"Vermont State Police"
1,"WI0451300",NA,"Fox Valley Metro Police Department"
NA,"NJ0010000",NA,"Atlantic County Sheriff's Office"
NA,"",NA,"Audubon Police Department"
NA,"",NA,"Bayhead Boro Police Department"
NA,"NJ0020000",NA,"Bergen County Sheriff's Office"
NA,"",NA,"Beverly City Police Department"
NA,"",NA,"Bloomingdale Boro Police Department"
NA,"",NA,"Butler Boro Police Department"
NA,"NJ0040000",NA,"Camden County Sheriff's Office"
NA,"",NA,"Chester Police Department"
NA,"NJ0060000",NA,"Cumberland County Sheriff's Office"
NA,"",NA,"Delaware River Port Authority"
NA,"",NA,"Deptford Township Police Department"
NA,"",NA,"Elmwood Park Police Department"
NA,"NJ0070000",NA,"Essex County Sheriff's Office"
NA,"",NA,"Fairfield Police Department"
NA,"",NA,"Franklin Boro Police Department"
NA,"",NA,"Franklin Lakes Boro Police Department"
NA,"",NA,"Frenchtown Boro Police Department"
NA,"NJ0080000",NA,"Gloucester County Sheriff's Office"
NA,"",NA,"Harvey Cedars Boro Police"
NA,"",NA,"Hillsdale Police"
NA,"",NA,"Hudson County Sheriffs Department"
NA,"",NA,"Hunterdon County Sheriffs Department"
NA,"",NA,"Linwood City Police"
NA,"",NA,"Mercer County Sheriffs Department"
NA,"",NA,"Middlesex County Sheriffs Department"
NA,"",NA,"Monmouth County Sheriffs Department"
NA,"",NA,"Morris County Sheriffs Department"
NA,"NJ0142600",5944,"Mount Arlington Police"
NA,"",NA,"Oakland Police"
NA,"NJ0042600",3942,"Oaklyn Police"
NA,"NJ0150000",NA,"Ocean County Sheriff's Office"
NA,"",NA,"Oceangate Boro Police Department"
NA,"",NA,"Park Police Department"
NA,"NJ0160000",NA,"Passaic County Sheriff's Office"
NA,"",NA,"Pequannock Police Department"
NA,"",NA,"Pine Beach Police Department"
NA,"",NA,"Pompton Lakes Police Department"
NA,"",NA,"Salem County Prosecutor's Office"
NA,"NJ0170000",NA,"Salem County Sheriff's Office"
NA,"",NA,"Somerset County Correction's Department"
NA,"",NA,"Somerset County Prosecutor's Office"
NA,"NJ0180000",NA,"Somerset County Sheriff's Office"
NA,"NJ0190000",NA,"Sussex County Sheriff's Office"
NA,"",NA,"Union County Prosecutor's Office"
NA,"NJ0200000",NA,"Union County Sheriff's Office"
NA,"",NA,"Union Township Police Department"
NA,"",NA,"Wanaque Boro Police Department"
NA,"",NA,"Wayne Police Department"
NA,"NY0502500",2435,"Cohocton Town Police Department"
NA,"",NA,"LeRoy Village Police Department"
NA,"",NA,"NYC DEPP - Ashokan PCT"
NA,"",NA,"NYC DEPP - Eastview PCT"
NA,"",NA,"NYC DEPP - Grahamsville PCT"
NA,"",NA,"NYC DEPP - Hillview PCT"
NA,"",NA,"South Nyack-Grand View Police Department"
NA,"",NA,"St. Johnsville Village Police Department"
NA,"",NA,"Clark County Park District Police Department"
0,"",NA,"Perry Township (Columbiana) Police Department"
NA,"",NA,"Perry Township (Franklin) Police Department"
3,"",NA,"Springfield Township (Hamilton) Police Department"
NA,"",NA,"Springfield Township (Mahoning) Police Department"
NA,"NH0063400",113018,"Manchester Police Department"
NA,"WI0050000",99529,"Brown County Sheriff's Office"
NA,"UT0290100",88309,"Ogden Police Department"
NA,"NV0030000",49317,"Douglas County Sheriff's Office"
NA,"FL0260000",34125,"Hendry County Sheriff's Office"
NA,"RI0040500",29458,"Johnston Police Department"
NA,"RI0041000",10739,"Scituate Police Department"
NA,"NMNSP9100",NA,"New Mexico State Police"
NA,"AZ0070000",458571,"Maricopa County Sheriff's Office"
NA,"CA0430000",160542,"Santa Clara County Sheriff's Office"
NA,"CA0100000",163263,"Fresno County Sheriff's Office"
NA,"CA0560000",890327,"Ventura County Sheriff's Office"
NA,"CA0300100",351913,"Anaheim Police Department"
NA,"CA0550000",48995,"Tuolumne County Sheriff's Office"
NA,"SC0380000",66790,"Orangeburg County Sheriff's Office"
NA,"WI0500100",25790,"Stevens Point Police Department"
NA,"NM0170000",50063,"McKinley County Sheriff's Office"
0,"",NA,"Chatham County Police Department"
NA,"NC0230000",63554,"Cleveland County Sheriff's Office"
NA,"NC0100000",89550,"Brunswick County Sheriff's Office"
NA,"VA0940100",7828,"Abingdon Police Department"
NA,"VA0010000",26125,"Accomack County Sheriff's Office"
NA,"VA0030000",11251,"Alleghany County Sheriff's Office"
NA,"VA0040000",13179,"Amelia County Sheriff's Office"
NA,"VA0050000",29320,"Amherst County Sheriff's Office"
NA,"VA0050100",2174,"Amherst Police Department"
NA,"",NA,"Aquia Harbour Police Department"
NA,"VA0080000",75709,"Augusta County Sheriff's Office"
NA,"VA0100000",72784,"Bedford County Sheriff's Office"
NA,"VA0960200",5080,"Big Stone Gap Police Department"
NA,"VA0670100",3299,"Blackstone Police Department"
NA,"VA0920100",4780,"Bluefield Police Department"
NA,"VA0120000",33417,"Botetourt County Sheriff's Office"
NA,"VA1000000",16640,"Bristol Police Department"
NA,"VA0820200",4010,"Broadway Police Department"
NA,"VA0130000",15110,"Brunswick County Sheriff's Office"
NA,"VA0150000",17141,"Buckingham County Sheriff's Office"
NA,"VA0650100",1020,"Cape Charles Police Department"
NA,"VA0170000",29760,"Caroline County Sheriff's Office"
NA,"VA0180000",27082,"Carroll County Sheriff's Office"
NA,"VA0710100",1422,"Chatham Police Department"
NA,"VA1030100",NA,"Chesapeake City Sheriff's Office"
NA,"VA0210000",NA,"Chesterfield County Sheriff's Office"
NA,"VA0600300",22643,"Christiansburg Police Department"
NA,"VA1160400",NA,"Christopher Newport University Police Department"
NA,"VA0220000",10283,"Clarke County Sheriff's Office"
NA,"VA1040000",3455,"Clifton Forge Police Department"
NA,"VA0960300",1824,"Coeburn Police Department"
NA,"VA1050000",17360,"Colonial Heights Police Department"
NA,"VA1060000",5490,"Covington Police Department"
NA,"VA0230000",5120,"Craig County Sheriff's Office"
NA,"VA0250000",9387,"Cumberland County Sheriff's Office"
NA,"VA1070000",39704,"Danville Police Department"
NA,"VA0820300",1648,"Dayton Police Department"
NA,"VA1221000",NA,"Department of Conservation and Recreation"
NA,"",NA,"Department of Wildlife Resources"
NA,"VA0270000",28574,"Dinwiddie County Sheriff's Office"
NA,"VA1220300",NA,"Division of Capitol Police"
NA,"VA0750600",6038,"Dumfries Police Department"
NA,"VA0650300",NA,"Eastville Police Department"
NA,"VA0400100",5282,"Emporia Police Department"
NA,"VA1075000",24161,"Fairfax City Police Department"
NA,"VA1080000",14877,"Falls Church Police Department"
NA,"VA0730100",7279,"Farmville Police Department"
NA,"VA0300000",61099,"Fauquier County Sheriff's Office"
NA,"VA1085000",7896,"Franklin Police Department"
NA,"VA1090000",29592,"Fredericksburg Police Department"
NA,"VA0930100",15387,"Front Royal Police Department"
NA,"VA0940300",1400,"Glade Spring Police Department"
NA,"VA0360000",37363,"Gloucester County Sheriff's Office"
NA,"VA0370000",23969,"Goochland County Sheriff's Office"
NA,"VA0380000",14660,"Grayson County Sheriff's Office"
NA,"VA0400000",11232,"Greensville County Sheriff's Office"
NA,"VA0410000",24906,"Halifax County Sheriff's Office"
NA,"VA1120000",53442,"Harrisonburg Police Department"
NA,"VA0290200",24739,"Herndon Police Department"
NA,"VA1130000",22498,"Hopewell Police Department"
NA,"VA0460000",25991,"Isle Of Wight County Sheriff's Office"
NA,"VA0510100",1329,"Kilmarnock Police Department"
NA,"VA0480000",7025,"King And Queen County Sheriff's Office"
NA,"VA0490000",27188,"King George County Sheriff's Office"
NA,"VA0500000",14017,"King William Sheriff's Office"
NA,"",NA,"Kingsmill Police Department"
NA,"VA0510000",8856,"Lancaster County Sheriff's Office"
NA,"VA0530100",55070,"Leesburg Police Department"
NA,"VA0810200",7487,"Lexington Police Department"
NA,"VA0530000",359411,"Loudoun County Sheriff's Office"
NA,"VA0540000",36317,"Louisa County Sheriff's Office"
NA,"VA0540100",1753,"Louisa Police Department"
NA,"VA0550000",9304,"Lunenburg County Sheriff's Office"
NA,"VA0750200",17839,"Manassas Park Police Department"
NA,"VA0750100",41386,"Manassas Police Department"
NA,"VA1150000",12417,"Martinsville Police Department"
NA,"VA0570000",8812,"Mathews County Sheriff's Office"
NA,"VA0580000",22082,"Mecklenburg Sheriff's Office"
NA,"VAMWA0000",NA,"Metropolitan Washington Airports Authority Police"
NA,"VA0590000",10530,"Middlesex County Sheriff's Office"
NA,"VA0600000",31842,"Montgomery County Sheriff's Office"
NA,"VA0620000",14748,"Nelson County Sheriff's Office"
NA,"VA0630000",23642,"New Kent Sheriff's Office"
NA,"VA0850500",2261,"New Market Police Department"
NA,"",NA,"Norfolk Airport Authority Police Department"
NA,"VA1170300",NA,"Norfolk City Sheriff's Office"
NA,"VA1170000",242516,"Norfolk Police Department"
NA,"",NA,"Northern Virginia Community College Police Department"
NA,"VA0670000",9350,"Nottoway County Sheriff's Office"
NA,"VA0750700",1104,"Occoquan Police Department"
NA,"VA1300700",NA,"Old Dominion University Police Department"
NA,"VA0010200",1206,"Onancock Police Department"
NA,"VA0680000",30647,"Orange County Sheriff's Office"
NA,"VA0680100",5140,"Orange Police Department"
NA,"VA0690000",15023,"Page County Sheriff's Office"
NA,"VA0700000",17501,"Patrick County Sheriff's Office"
NA,"VA1190000",31195,"Petersburg Bureau Of Police"
NA,"VA0710000",56138,"Pittsylvania County Sheriff's Office"
NA,"VA0980100",12275,"Poquoson Police Department"
NA,"VA1200000",94205,"Portsmouth Police Department"
NA,"VA0720000",29803,"Powhatan Sheriff's Office"
NA,"VA0740100",38637,"Prince George County Police Department"
NA,"VA0770000",22647,"Pulaski County Sheriff's Office"
NA,"VA0770100",8674,"Pulaski Police Department"
NA,"VA0530300",10485,"Purcellville Police Department"
NA,"VA1210000",18450,"Radford City Police Department"
NA,"VA0780000",7350,"Rappahannock County Sheriff's Office"
NA,"",NA,"Regent University Police Department"
NA,"VA1230000",99335,"Roanoke City Police Department"
NA,"VA0800300",86192,"Roanoke County Police Department"
NA,"VA0810000",21478,"Rockbridge County Sheriff's Office"
NA,"VA0330100",4718,"Rocky Mount Police Department"
NA,"VA0800100",25326,"Salem Police Department"
NA,"VA0840000",18331,"Scott County Sheriff's Office"
NA,"VA0020200",NA,"Scottsville Police Department"
NA,"VA0460100",8518,"Smithfield Police Department"
NA,"VA1240000",7528,"South Boston Police Department"
NA,"VA0580500",4322,"South Hill Police Department"
NA,"VA0890000",155557,"Stafford County Sheriff's Office"
NA,"VA1260000",25048,"Staunton Police Department"
NA,"VA0850400",6703,"Strasburg Police Department"
NA,"VA1270000",92881,"Suffolk Police Department"
NA,"VA0920000",24712,"Tazewell County Sheriff's Office"
NA,"VA0820700",2710,"Timberville Police Department"
NA,"VA0020100",NA,"University Of Virginia Police Department"
NA,"VA0800200",8117,"Vinton Police Department"
NA,"VAVSP0000",NA,"Virginia State Police"
NA,"VA1190200",NA,"Virginia State University Police Department"
NA,"",NA,"Virginia Tech Police Department"
NA,"VA0930000",25056,"Warren County Sheriff's Office"
NA,"VA1290000",22801,"Waynesboro Police Department"
NA,"VA0840200",1200,"Weber City Police Department"
NA,"VA0500200",3250,"West Point Police Department"
NA,"VA1300000",15086,"Williamsburg Police Department"
NA,"VA1310000",28279,"Winchester Police Department"
NA,"VA0960000",24065,"Wise County Sheriff's Office"
NA,"VA0970000",19264,"Wythe County Sheriff's Office"
NA,"VA0980000",68574,"York - Poquoson Sheriff's Office"
NA,"",NA,"Allentown Boro Police Department"
NA,"NJ0050100",1225,"Avalon Police Department"
NA,"",NA,"Boonton Township Police Department"
NA,"",NA,"Burlington County Bridge Commission"
NA,"NJ0030000",NA,"Burlington County Sheriff's Office"
NA,"",NA,"Camden Co Corrections"
NA,"",NA,"Camden Co Prosecutors Office"
NA,"NJ0050000",NA,"Cape May County Sheriff's Office"
NA,"",NA,"Closter Police Department"
NA,"",NA,"Deal Police Department"
NA,"",NA,"Elk Township Police Department"
NA,"",NA,"Emerson Police Department"
NA,"",NA,"Englishtown Police Department"
NA,"",NA,"Fair Haven Police Department"
NA,"",NA,"Ho-Ho-Kus Police Department"
NA,"",NA,"Hudson Co ProsecutorOff-S/Force"
NA,"",NA,"Hunterdon Co Prosecutor Office"
NA,"",NA,"Mendham Township Police Department"
NA,"",NA,"Morris Plains Police Department"
NA,"",NA,"Mountainside Police Department"
NA,"",NA,"North Haledon Police Department"
NA,"",NA,"Peapack-Gladstone Police Department"
NA,"",NA,"River Edge Police Department"
NA,"",NA,"Rumson Police Department"
NA,"",NA,"Spring Lake Heights Police Department"
NA,"",NA,"Stevens Institute Of Technology"
NA,"",NA,"Stockton University"
NA,"",NA,"Surf City Police Department"
NA,"",NA,"Union County Police Department"
NA,"",NA,"Waldwick Police Department"
NA,"",NA,"Warren Co Prosecutors Office"
NA,"",NA,"William Paterson University Police Department"
NA,"OH0770100",197433,"Akron Police Department"
NA,"OH0500100",34688,"Austintown Police Department"
NA,"",NA,"Bath Township (Summit) Police Department"
NA,"OH0070200",3985,"Bellaire Police Department"
NA,"OH0180500",843,"Bentleyville Police Department"
NA,"OH0840400",1334,"Beverly Police Department"
NA,"OH0750300",NA,"Botkins Police Department"
NA,"OH0521500",10530,"Brunswick Hills Police Department"
NA,"OH0860100",8210,"Bryan Police Department"
NA,"OH0340100",3141,"Cadiz Police Department"
NA,"OH0621300",3522,"Catawba Island Township Police Department"
NA,"OH0570100",23668,"Centerville Police Department"
NA,"",NA,"Cleveland Metroparks Ranger Department"
NA,"OH0502300",1309,"Coitsville Township Police Department"
NA,"OH0254400",NA,"Columbus State Community College Police Department"
NA,"OH0772700",17280,"Copley Police Department"
NA,"OH0200000",17932,"Defiance County Sheriff's Office"
NA,"OH0181700",16859,"East Cleveland Police Department"
NA,"OH0311000",2725,"Evendale Police Department"
NA,"OH0311300",2184,"Glendale Police Department"
NA,"OH0251600",5649,"Groveport Police Department"
NA,"OH0290900",2148,"Jamestown Police Department"
NA,"OH0420000",42078,"Knox County Sheriff's Office"
NA,"OH0253500",19828,"Madison Township Police Department"
NA,"OH0182800",21953,"Maple Heights Police Department"
NA,"OH0060500",2818,"Minster Police Department"
NA,"OH0090500",16519,"Monroe Police Department"
NA,"OH0183300",2036,"Newburgh Heights Police Department"
NA,"OH0312700",9269,"North College Hill Police Department"
NA,"",NA,"Northfield Police Department"
NA,"",NA,"Ohio Department of Natural Resources Police Department"
NA,"OH0HP9800",NA,"Ohio State Highway Patrol"
NA,"OH0184000",3285,"Orange Village Police Department"
NA,"OH0131200",832,"Owensville Police Department"
NA,"",NA,"Perry Township (Stark) Police Department"
NA,"OH0730000",52520,"Scioto County Sheriff's Office"
NA,"",NA,"Springfield Township (Summit) Police Department"
NA,"OH0110600",2003,"Saint Paris Police Department"
NA,"OH0572300",6916,"Union Police Department"
NA,"",NA,"Vienna Township Police Department"
NA,"OH0091500",62685,"West Chester Police Department"
NA,"OH0185700",31938,"Westlake Police Department"
NA,"NC0860000",54513,"Surry County Sheriff's Office"
NA,"KS1050000",165447,"Wyandotte County Sheriff's Office"
NA,"CA0270000",103024,"Monterey County Sheriff's Office"
341,"FL0530000",481579,"Polk County Sheriff's Office"
14,"WY0070200",10772,"Riverton Police Department"
NA,"MD0230000",61817,"Wicomico County Sheriff's Office"
NA,"WY0130000",15336,"Natrona County Sheriff's Office"
NA,"TX0110000",66575,"Bastrop County Sheriff's Office"
NA,"OK0160100",92507,"Lawton Police Department"
NA,"MN0271700",80843,"Plymouth Police Department"
NA,"SC0240000",43849,"Greenwood County Sheriff's Office"
3,"WY0040100",8434,"Rawlins Police Department"
5,"WY0030000",14416,"Campbell County Sheriff's Office"
NA,"AZ0030000",54212,"Coconino County Sheriff's Office"
19,"WY0130100",58244,"Casper Police Department"
11,"HI0040000",72121,"Kauai County Police Department"
NA,"ND0080100",74997,"Bismarck Police Department"
NA,"AZ0020000",50515,"Cochise County Sheriff's Office"
NA,"FL0600000",128019,"Sumter County Sheriff's Office"
NA,"",NA,"Central CT State University Police Department"
NA,"CT0003500",21840,"Darien Police Department"
NA,"",NA,"CT Department of Motor Vehicles Police Department"
NA,"CT0005400",34487,"Glastonbury Police Department"
NA,"CT0005600",11531,"Granby Police Department"
NA,"CT00B5900",506,"Groton Long Point Police Department"
NA,"CT0008300",46106,"Middletown Police Department"
NA,"CT0009700",27924,"Newtown Police Department"
NA,"CT0009900",14115,"North Branford Police Department"
NA,"CT0012800",25614,"Simsbury Police Department"
NA,"",NA,"Southern CT State University Police Department"
NA,"",NA,"State Capitol Police Department"
NA,"",NA,"Western CT State University Police Department"
NA,"",NA,"Winsted Police Department"
NA,"CT0009600",26668,"New Milford Police Department"
NA,"CT0011800",24990,"Ridgefield Police Department"
NA,"CT0015600",54516,"West Haven Police Department"
NA,"CT0016600",16573,"Wolcott Police Department"
NA,"CT0016700",8725,"Woodbridge Police Department"
NA,"CT0000700",20497,"Berlin Police Department"
NA,"CT0001800",17031,"Brookfield Police Department"
NA,"CT0002700",12890,"Clinton Police Department"
NA,"CT0003700",12281,"Derby Police Department"
NA,"CT0008100",7819,"Middlebury Police Department"
NA,"CT0011100",11529,"Plymouth Police Department"
NA,"CT0011700",9112,"Redding Police Department"
NA,"CT0007700",57510,"Manchester Police Department"
NA,"CT0013900",15820,"Suffield Police Department"
NA,"CT0004500",18391,"East Lyme Police Department"
NA,"CTDI00300",NA,"Mohegan Tribal Police Department"
NA,"CT0008500",19427,"Monroe Police Department"
NA,"CT0004600",7522,"Easton Police Department"
NA,"CT0014400",35632,"Trumbull Police Department"
NA,"CT0002300",10249,"Canton Police Department"
NA,"CT0015700",10258,"Weston Police Department"
NA,"CT0004200",12783,"East Hampton Police Department"
NA,"CT0009400",29957,"Newington Police Department"
NA,"CT0003200",12404,"Coventry Police Department"
NA,"CT0011600",9370,"Putnam Police Department"
NA,"CT0004300",49720,"East Hartford Police Department"
NA,"CT0006000",22106,"Guilford Police Department"
NA,"CT0010600",10042,"Old Saybrook Police Department"
NA,"CT0013200",26213,"South Windsor Police Department"
NA,"CT0004400",28498,"East Haven Police Department"
NA,"CT0001100",21294,"Bloomfield Police Department"
NA,"CT0011000",17519,"Plainville Police Department"
NA,"CT0005700",63012,"Greenwich Police Department"
NA,"CT0005200",25512,"Farmington Police Department"
NA,"CT0000400",18289,"Avon Police Department"
NA,"CT0000900",19932,"Bethel Police Department"
NA,"CT0007000",NA,"Ledyard Police Department"
NA,"CT0008400",54968,"Milford Police Department"
NA,"",NA,"Groton City Police Department"
NA,"CT0010100",23639,"North Haven Police Department"
NA,"CT0015800",28728,"Westport Police Department"
NA,"CT0014800",44236,"Wallingford Police Department"
NA,"CT0016100",18375,"Wilton Police Department"
NA,"",NA,"University of Connecticut Police Department"
NA,"CT0016400",28692,"Windsor Police Department"
NA,"CT0001700",59886,"Bristol Police Department"
NA,"CT0009500",26776,"New London Police Department"
NA,"CT0008800",31024,"Naugatuck Police Department"
NA,"CT0015200",18664,"Waterford Police Department"
NA,"CT0016300",17737,"Willimantic Police Department"
NA,"CT0003300",13822,"Cromwell Police Department"
NA,"",NA,"Groton Town Police Department"
NA,"",NA,"Mashantucket Pequot Police Department"
NA,"CT0011900",20160,"Rocky Hill Police Department"
NA,"CT0015300",21475,"Watertown Police Department"
NA,"",NA,"Yale University Police Department"
NA,"CT0007600",18004,"Madison Police Department"
NA,"CT0015500",62911,"West Hartford Police Department"
NA,"CT0002500",28897,"Cheshire Police Department"
NA,"CT0015900",25936,"Wethersfield Police Department"
NA,"CT0012400",16426,"Seymour Police Department"
NA,"CT0005100",62311,"Fairfield Police Department"
NA,"CT0006200",60440,"Hamden Police Department"
NA,"CT0010900",15095,"Plainfield Police Department"
NA,"CT0013100",43906,"Southington Police Department"
NA,"CT0000200",18586,"Ansonia Police Department"
NA,"CT0004700",11723,"East Windsor Police Department"
NA,"CT0010700",13922,"Orange Police Department"
NA,"CT0001400",27886,"Branford Police Department"
NA,"CT0014600",29379,"Vernon Police Department"
NA,"CT0004900",43551,"Enfield Police Department"
NA,"CT0009300",130299,"New Haven Police Department"
NA,"CT0001500",144350,"Bridgeport Police Department"
NA,"CT0015100",107263,"Waterbury Police Department"
NA,"CT0012600",41302,"Shelton Police Department"
NA,"",NA,"NC State University Police Department"
14,"NB0100100",34201,"Kearney Police Department"
NA,"CO0620700",15967,"Erie Police Department"
139,"MAMSPA000",NA,"Massachusetts State Police"
2,"MA0093300",88281,"Newton Police Department"
NA,"LALSP1800",NA,"Louisiana State Police"
0,"NH0062600",8040,"Hollis Police Department"
NA,"WI0130200",20322,"Middleton Police Department"
NA,"NV0100000",55138,"Lyon County Sheriff's Office"
NA,"AZ0110000",251619,"Pinal County Sheriff's Office"
NA,"OR0040500",1777,"Cannon Beach Police Department"
NA,"CO0030000",97489,"Arapahoe County Sheriff's Office"
NA,"CO0300100",119700,"Arvada Police Department"
NA,"CO0180700",13423,"Lone Tree Police Department"
NA,"CA0360700",187464,"Ontario Police Department"
217,"AZ0071300",255468,"Glendale Police Department"
NA,"MS0250100",158622,"Jackson Police Department"
