ori-1,percent_officers_white,percent_officers_black,percent_officers_hispanic,percent_officers_asianpacific,percent_officers_native_american,percent_officers_other,civilian_complaints_reported_2016,civilian_complaints_reported_2018,civilian_complaints_reported_2019,civilian_complaints_reported_2020,civilian_complaints_reported_2021,civilian_complaints_reported_2022,population
CA0300800,0.66,0.03,0.24,0.07,0,0.01,10,25,41,29,23,30,139011
CA0300900,0.6,0.01,0.27,0.06,0,0.06,7,7,8,7,10,14,171698
CA0301000,0,0,0,0,0,1,20,24,30,20,24,24,200128
CA0301400,0,0,0,0,0,1,18,7,8,5,5,28,84448
CA0301500,0.73,0.03,0.15,0.05,0,0.04,7,10,8,3,14,11,138846
CA0301900,0.33,0.02,0.58,0.06,0,0.01,36,38,54,45,22,39,333107
CA0302600,0.73,0.01,0.12,0.13,0,0,31,27,33,11,17,22,297069
CA0310000,0.93,0,0.04,0.02,0.01,0,3,7,2,1,1,2,122516
CA0330000,0.6,0.04,0.32,0.02,0,0.02,70,46,33,33,19,17,1436865
CA0330800,0.74,0.02,0.2,0.02,0,0.03,3,6,8,9,1,10,86058
CA0331300,0.65,0.06,0.24,0.04,0,0,9,52,45,39,41,29,334370
CA0331500,0.64,0.01,0.32,0.01,0,0.01,17,10,14,8,13,31,171848
CA0340400,0.75,0.04,0.11,0.09,0.01,0,3,4,146,238,221,268,519050
CA0360200,0.66,0.05,0.18,0.05,0,0.07,13,1,3,5,2,2,96309
CA0360300,0.51,0.04,0.4,0,0,0.04,3,7,9,3,8,11,55117
CA0360400,0.72,0.02,0.23,0.01,0,0.02,6,9,7,9,6,16,216553
CA0360700,0.55,0.05,0.32,0.03,0,0.04,18,14,13,18,15,18,187464
CA0360900,0.52,0.1,0.34,0.02,0.01,0,10,10,5,5,19,18,104004
CA0361000,0.57,0.07,0.3,0.03,0,0.02,30,18,20,40,54,43,216365
CA0370000,0.67,0.04,0.21,0.05,0.01,0.02,13,9,214,204,204,226,922620
CA0370100,0.79,0.03,0.1,0.02,0,0.06,22,13,5,17,15,22,116516
CA0370200,0.55,0.05,0.28,0.04,0.02,0.05,15,31,19,6,13,11,278027
CA0370500,0.79,0.01,0.08,0.05,0.01,0.06,5,2,2,5,3,6,103035
CA0370600,0,0,0,0,0,1,19,14,46,10,9,42,152446
CA0370900,0.62,0.02,0.28,0.03,0.01,0.03,13,1,18,4,5,12,61710
CA0371000,0.63,0.07,0.21,0.08,0.01,0,24,20,13,23,24,21,176616
CA0371100,0.63,0.06,0.21,0.08,0.01,0,129,74,102,194,198,124,1437608
CA0380100,0.5,0.09,0.16,0.16,0,0.08,251,678,842,842,826,746,881514
CA0390000,0.79,0.02,0.13,0.04,0,0.01,18,21,21,29,41,29,174825
CA0390500,0.62,0.03,0.27,0.08,0,0,10,11,11,12,29,14,314981
CA0400000,0,0,0,0,0,1,21,23,45,35,39,22,121014
CA0410000,0.63,0.04,0.15,0.06,0.01,0.1,32,53,52,27,62,47,129307
CA0410100,0.84,0.11,0.05,0,0,0,1,0,1,0,3,2,7162
CA0410200,0.83,0.1,0.07,0,0,0,5,2,5,0,7,4,27063
CA0410600,0.64,0.05,0.18,0.07,0,0.06,9,8,8,12,12,10,106855
CA0411300,0.67,0.01,0.26,0.05,0,0.01,6,7,15,8,5,9,86983
CA0411600,0,0,0,0,0,1,2,1,5,9,5,3,105246
CA0420400,0.51,0.03,0.4,0.02,0.01,0.03,42,22,36,27,20,17,108140
CA0430000,0.5,0.04,0.27,0.09,0.01,0.08,110,30,52,51,66,139,160542
CA0430400,0.72,0.02,0.26,0,0,0,1,3,1,1,1,1,60269
CA0430800,0.44,0.04,0.2,0.3,0,0.02,6,6,3,2,6,8,86416
CA0431600,0.72,0.04,0.11,0.13,0,0,2,2,10,2,6,,154133
CA0440300,0.36,0,0.57,0.01,0,0.06,30,10,22,11,14,8,54151
CA0480300,0.85,0.03,0.07,0.03,0,0.02,5,5,21,24,32,24,118491
CA0480500,0.65,0.09,0.26,0,0,0,9,3,12,15,7,,29842
CA0480700,0.73,0.07,0.11,0.1,0,0,15,8,11,45,50,24,122326
CA0490500,0.86,0.02,0.11,0.02,0,0,68,30,85,74,35,55,176932
CA0500000,0.77,0,0.19,0.04,0,0,45,29,32,36,27,38,173533
CA0500100,0.67,0.02,0.26,0.02,0,0.02,3,5,4,8,6,11,49028
CA0500200,0.63,0.02,0.16,0.04,0.01,0.14,32,43,37,41,36,33,216560
